account_id,loan_amount,outstanding_amount,days_past_due,customer_location,customer_income_band,previous_payment_history,num_contact_attempts,last_contact_channel,last_contact_outcome,assigned_channel,recovery_amount
A1000,151958,132752,201,Tier 2,Medium,Poor,7,Call,No Response,Legal,0
A1001,176867,115998,112,Tier 2,Medium,Good,5,Call,Refused,Field,66224
A1002,161932,105760,250,Tier 1,Medium,Good,2,Legal,No Response,Field,0
A1003,133694,122854,262,Tier 2,Medium,Average,6,Call,No Response,Field,0
A1004,149879,80361,229,Tier 1,High,Good,7,Legal,No Response,Field,38860
A1005,140268,131929,226,Tier 1,Medium,Good,4,Call,Paid,Legal,0
A1006,84886,53336,211,Tier 1,Low,Average,4,Legal,Promised,Field,12233
A1007,167337,133282,38,Tier 1,Medium,Average,6,Call,No Response,Field,0
A1008,198266,191920,221,Tier 3,Low,Average,2,None,Refused,Field,126251
A1009,117498,98588,163,Tier 2,Medium,Good,7,Legal,No Response,Field,0
A1010,142727,100938,240,Tier 1,Low,Good,2,Field,Promised,Legal,70173
A1011,156324,132057,111,Tier 3,Medium,Average,7,Legal,No Response,Call,0
A1012,46023,30926,186,Tier 1,Medium,Poor,2,Call,No Response,Call,0
A1013,71090,45400,190,Tier 2,Low,Poor,4,Call,Promised,Field,0
A1014,97221,97059,241,Tier 3,Medium,Average,5,Call,Promised,Call,0
A1015,94820,83004,21,Tier 3,Medium,Average,7,Field,No Response,Legal,0
A1016,30769,25303,195,Tier 1,Medium,Poor,7,Legal,Promised,Legal,0
A1017,89735,60808,258,Tier 2,High,Good,3,Field,Promised,Call,0
A1018,94925,49795,275,Tier 1,Medium,Good,5,Field,Promised,Call,13012
A1019,35311,18203,144,Tier 1,Medium,Average,7,Field,No Response,Field,0
A1020,133355,103628,254,Tier 2,Medium,Average,1,Legal,No Response,Call,0
A1021,115305,101585,40,Tier 3,Medium,Good,2,Legal,No Response,Legal,0
A1022,189765,145870,268,Tier 1,Medium,Average,5,None,Paid,Call,115488
A1023,160608,147822,113,Tier 1,Low,Good,3,Call,Promised,Legal,0
A1024,186730,96485,10,Tier 1,Medium,Average,5,Call,Paid,Call,0
A1025,114478,78231,216,Tier 1,Medium,Good,1,None,Paid,Call,0
A1026,152537,94349,144,Tier 1,Medium,Poor,1,Legal,Promised,Call,0
A1027,179503,129894,280,Tier 3,Medium,Good,5,Call,Promised,Legal,53052
A1028,160523,86070,98,Tier 1,Medium,Poor,6,None,No Response,Call,0
A1029,32747,31995,204,Tier 1,Medium,Average,6,Legal,No Response,Call,0
A1030,153855,94101,131,Tier 2,Medium,Poor,6,Call,Promised,Call,0
A1031,95725,92006,125,Tier 3,Low,Poor,3,Legal,Promised,Call,41828
A1032,159981,114057,205,Tier 3,Medium,Good,5,Legal,Paid,Call,51176
A1033,114654,113824,45,Tier 2,High,Good,2,Call,Promised,Call,0
A1034,196845,152954,76,Tier 1,Medium,Average,3,Field,Promised,Legal,0
A1035,149346,144181,142,Tier 3,High,Good,4,None,Paid,Call,83590
